,gse,gsm,GrowthPhase,Culture_Coarse,Temperature_Coarse,Oxygenation,MediumCoarse,strain,ZeroHop
GSM4705688,GSE155521,GSM4705688,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
GSM4705689,GSE155521,GSM4705689,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
GSM4705690,GSE155521,GSM4705690,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
GSM4705691,GSE155521,GSM4705691,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
GSM4705692,GSE155521,GSM4705692,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
GSM4705693,GSE155521,GSM4705693,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
GSM4705694,GSE155521,GSM4705694,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
GSM4975546,GSE163248,GSM4975546,unknown,liquid,body_temp,aerobic,Rich,PAO1,11
GSM4975547,GSE163248,GSM4975547,unknown,liquid,body_temp,aerobic,Rich,PAO1,11
GSM4975548,GSE163248,GSM4975548,unknown,liquid,body_temp,aerobic,Rich,PAO1,11
GSM4975549,GSE163248,GSM4975549,unknown,liquid,body_temp,aerobic,Rich,PAO1,11
SAMEA104471110,PRJEB24427,SAMEA104471110,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA104471111,PRJEB24427,SAMEA104471111,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA104471112,PRJEB24427,SAMEA104471112,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA104471113,PRJEB24427,SAMEA104471113,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA104471114,PRJEB24427,SAMEA104471114,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA104471115,PRJEB24427,SAMEA104471115,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA104471116,PRJEB24427,SAMEA104471116,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA104471117,PRJEB24427,SAMEA104471117,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA104471118,PRJEB24427,SAMEA104471118,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA104471119,PRJEB24427,SAMEA104471119,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA3209400,PRJEB8227,SAMEA3209400,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA3209401,PRJEB8227,SAMEA3209401,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA3209402,PRJEB8227,SAMEA3209402,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA3209403,PRJEB8227,SAMEA3209403,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA3209404,PRJEB8227,SAMEA3209404,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA3209405,PRJEB8227,SAMEA3209405,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA3209406,PRJEB8227,SAMEA3209406,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA3209407,PRJEB8227,SAMEA3209407,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA3209408,PRJEB8227,SAMEA3209408,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SAMEA3209409,PRJEB8227,SAMEA3209409,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SRX157660,SRP013960,SRX157660,Exp,liquid,body_temp,aerobic,Rich,PAO1,2
SRX157661,SRP013960,SRX157661,unknown,liquid,body_temp,aerobic,In vivo-like,PAO1,10
GSM2878162,GSE107758,GSM2878162,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878163,GSE107758,GSM2878163,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878164,GSE107758,GSM2878164,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878165,GSE107758,GSM2878165,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878166,GSE107758,GSM2878166,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878167,GSE107758,GSM2878167,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878168,GSE107758,GSM2878168,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878169,GSE107758,GSM2878169,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878170,GSE107758,GSM2878170,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878171,GSE107758,GSM2878171,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878172,GSE107758,GSM2878172,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878173,GSE107758,GSM2878173,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878174,GSE107758,GSM2878174,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878175,GSE107758,GSM2878175,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878176,GSE107758,GSM2878176,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878177,GSE107758,GSM2878177,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878178,GSE107758,GSM2878178,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878179,GSE107758,GSM2878179,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878180,GSE107758,GSM2878180,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878181,GSE107758,GSM2878181,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878182,GSE107758,GSM2878182,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878183,GSE107758,GSM2878183,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878184,GSE107758,GSM2878184,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878185,GSE107758,GSM2878185,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878186,GSE107758,GSM2878186,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878187,GSE107758,GSM2878187,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878188,GSE107758,GSM2878188,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878189,GSE107758,GSM2878189,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878190,GSE107758,GSM2878190,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM2878191,GSE107758,GSM2878191,Exp,liquid,body_temp,aerobic,Defined,PAO1,8
GSM3371747,GSE119356,GSM3371747,unknown,in vivo,body_temp,aerobic,In vivo,Uncharacterized,4
GSM3371748,GSE119356,GSM3371748,unknown,in vivo,body_temp,aerobic,In vivo,Uncharacterized,4
GSM3371749,GSE119356,GSM3371749,unknown,in vivo,body_temp,aerobic,In vivo,Uncharacterized,4
GSM3371750,GSE119356,GSM3371750,unknown,in vivo,body_temp,aerobic,In vivo,Uncharacterized,4
GSM3371751,GSE119356,GSM3371751,unknown,in vivo,body_temp,aerobic,In vivo,Uncharacterized,4
GSM3371752,GSE119356,GSM3371752,Plat,liquid,body_temp,aerobic,Rich,Uncharacterized,5
GSM3371753,GSE119356,GSM3371753,Plat,liquid,body_temp,aerobic,Rich,Uncharacterized,5
GSM3371754,GSE119356,GSM3371754,Plat,liquid,body_temp,aerobic,Rich,Uncharacterized,5
GSM3371755,GSE119356,GSM3371755,Plat,liquid,body_temp,aerobic,Rich,Uncharacterized,5
